Year,CPI,Inflation
1974,7.58697015632402,28.598734077509
1975,8.02310184746566,5.74843029767437
1976,7.41062245381335,-7.63394763392882
1977,8.02625769777357,8.30747009171166
1978,8.22876409284699,2.5230487569518
1979,8.74517527238275,6.27568336762335
1980,9.7374092846992,11.3460734795095
1981,11.0142316437707,13.112546897642
1982,11.8833363334912,7.89074279377487
1983,13.2936603505448,11.8680812986734
1984,14.3995476077688,8.3189071186008
1985,15.1996475603979,5.55642423236554
1986,16.5265343439129,8.72972072702581
1987,17.9810554239697,8.80112581251833
1988,19.6683027001421,9.38347186185335
1989,21.0596935101847,7.07428002942301
1990,22.9490075793463,8.9712325027325
1991,26.1320914258645,13.8702461773683
1992,29.2124945523449,11.7878170418134
1993,31.0607370914259,6.32689048779867
1994,34.2438214116532,10.2479355556119
1995,37.7452131691141,10.2248861637544
1996,41.1336584557082,8.97715233826453
1997,44.0805774514448,7.16425211462724
1998,49.9128076740881,13.2308389767977
1999,52.2436461392705,4.66982038037594
2000,54.3383216485078,4.0094359104519
2001,56.3919261013738,3.77929312235637
2002,58.815172903837,4.29715203929563
2003,61.0535954523922,3.80585899528851
2004,63.3536380862151,3.76725173477515
2005,66.0438512553292,4.24634362031922
2006,69.8720985315016,5.79652337561634
2007,74.3249644718143,6.37288135593231
2008,80.5305542396968,8.34926704907581
2009,89.2941733775462,10.8823529411764
2010,100.0,11.9893899204244
2011,108.911793364834,8.91179336483371
2012,119.235538897084,9.47899691419801
2013,131.18041028234,10.0178784746102
2014,139.924446113916,6.66565671867899
2015,146.790501522574,4.90697344127256
2016,154.054013105394,4.94821634062141
2017,159.18119775209,3.32817337461298
2018,165.451068899504,3.9388264669163
2019,171.621576003377,3.72950573539129
2020,182.988822584425,6.62343677628535
2021,192.378724699015,5.13140747176369
2022,205.266241146235,6.69903414079852
2023,216.862025027426,5.64914318907925
